"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B02001_001",4841164,NA
"01","Alabama","B02001_003",1282053,2466
"02","Alaska","B02001_001",736855,NA
"02","Alaska","B02001_003",24443,787
"04","Arizona","B02001_001",6728577,NA
"04","Arizona","B02001_003",287110,2622
"05","Arkansas","B02001_001",2968472,NA
"05","Arkansas","B02001_003",460638,1800
"06","California","B02001_001",38654206,NA
"06","California","B02001_003",2261835,5684
"08","Colorado","B02001_001",5359295,NA
"08","Colorado","B02001_003",219349,2311
"09","Connecticut","B02001_001",3588570,NA
"09","Connecticut","B02001_003",372696,2688
"10","Delaware","B02001_001",934695,NA
"10","Delaware","B02001_003",203027,1298
"11","District of Columbia","B02001_001",659009,NA
"11","District of Columbia","B02001_003",318598,1439
"12","Florida","B02001_001",19934451,NA
"12","Florida","B02001_003",3216994,7692
"13","Georgia","B02001_001",10099320,NA
"13","Georgia","B02001_003",3148134,4631
"15","Hawaii","B02001_001",1413673,NA
"15","Hawaii","B02001_003",25871,823
"16","Idaho","B02001_001",1635483,NA
"16","Idaho","B02001_003",10433,701
"17","Illinois","B02001_001",12851684,NA
"17","Illinois","B02001_003",1837612,4413
"18","Indiana","B02001_001",6589578,NA
"18","Indiana","B02001_003",608226,2970
"19","Iowa","B02001_001",3106589,NA
"19","Iowa","B02001_003",103052,1489
"20","Kansas","B02001_001",2898292,NA
"20","Kansas","B02001_003",167706,1843
"21","Kentucky","B02001_001",4411989,NA
"21","Kentucky","B02001_003",350242,2279
"22","Louisiana","B02001_001",4645670,NA
"22","Louisiana","B02001_003",1494201,2712
"23","Maine","B02001_001",1329923,NA
"23","Maine","B02001_003",16303,640
"24","Maryland","B02001_001",5959902,NA
"24","Maryland","B02001_003",1765926,3836
"25","Massachusetts","B02001_001",6742143,NA
"25","Massachusetts","B02001_003",489233,3521
"26","Michigan","B02001_001",9909600,NA
"26","Michigan","B02001_003",1376446,4001
"27","Minnesota","B02001_001",5450868,NA
"27","Minnesota","B02001_003",310853,2649
"28","Mississippi","B02001_001",2989192,NA
"28","Mississippi","B02001_003",1121327,2072
"29","Missouri","B02001_001",6059651,NA
"29","Missouri","B02001_003",701896,3009
"30","Montana","B02001_001",1023391,NA
"30","Montana","B02001_003",4260,354
"31","Nebraska","B02001_001",1881259,NA
"31","Nebraska","B02001_003",88388,1320
"32","Nevada","B02001_001",2839172,NA
"32","Nevada","B02001_003",243552,2195
"33","New Hampshire","B02001_001",1327503,NA
"33","New Hampshire","B02001_003",17483,942
"34","New Jersey","B02001_001",8915456,NA
"34","New Jersey","B02001_003",1207221,4790
"35","New Mexico","B02001_001",2082669,NA
"35","New Mexico","B02001_003",41957,1254
"36","New York","B02001_001",19697457,NA
"36","New York","B02001_003",3073278,7500
"37","North Carolina","B02001_001",9940828,NA
"37","North Carolina","B02001_003",2137131,4847
"38","North Dakota","B02001_001",736162,NA
"38","North Dakota","B02001_003",14761,623
"39","Ohio","B02001_001",11586941,NA
"39","Ohio","B02001_003",1421943,4339
"40","Oklahoma","B02001_001",3875589,NA
"40","Oklahoma","B02001_003",281295,1951
"41","Oregon","B02001_001",3982267,NA
"41","Oregon","B02001_003",74012,1487
"42","Pennsylvania","B02001_001",12783977,NA
"42","Pennsylvania","B02001_003",1410563,4935
"44","Rhode Island","B02001_001",1054491,NA
"44","Rhode Island","B02001_003",68886,1921
"45","South Carolina","B02001_001",4834605,NA
"45","South Carolina","B02001_003",1322368,2459
"46","South Dakota","B02001_001",851058,NA
"46","South Dakota","B02001_003",14078,644
"47","Tennessee","B02001_001",6548009,NA
"47","Tennessee","B02001_003",1100577,2625
"48","Texas","B02001_001",26956435,NA
"48","Texas","B02001_003",3221133,5524
"49","Utah","B02001_001",2948427,NA
"49","Utah","B02001_003",32512,1184
"50","Vermont","B02001_001",626249,NA
"50","Vermont","B02001_003",7404,344
"51","Virginia","B02001_001",8310301,NA
"51","Virginia","B02001_003",1596352,4766
"53","Washington","B02001_001",7073146,NA
"53","Washington","B02001_003",256990,2976
"54","West Virginia","B02001_001",1846092,NA
"54","West Virginia","B02001_003",63305,1338
"55","Wisconsin","B02001_001",5754798,NA
"55","Wisconsin","B02001_003",361730,1940
"56","Wyoming","B02001_001",583029,NA
"56","Wyoming","B02001_003",6435,563
"72","Puerto Rico","B02001_001",3529385,NA
"72","Puerto Rico","B02001_003",320087,5491
